"date","days_old","exp_day","diversity","species_N","sample_code","treatment","treatment_code","replicate","species_counted","treatment_code_species","vol_um3","cells_ul","biov_um3_ul"
"02.12.2019","target",0,"monocultures",1,"A1","Amphidinium","A",1,"Amphidinium","A",309.8685704,18.3,5681.459132
"02.12.2019","target",0,"monocultures",1,"T1","Tetraselmis","T",1,"Tetraselmis","T",168.3395298,33.8,5681.459132
"02.12.2019","target",0,"monocultures",1,"D1","Dunaliella","D",1,"Dunaliella","D",110.8820436,51.2,5681.459132
"02.12.2019","target",0,"monocultures",1,"S1","Synechococcus","S",1,"Synechococcus","S",5.430463068,1046.2,5681.459132
"02.12.2019","target",0,"monocultures",1,"Ti1","Tisochrysis","Ti",1,"Tisochrysis","Ti",24.28920184,233.9,5681.459132
"02.12.2019","target",0,"pairs",2,"DA1","Dunaliella-Amphidinium","DA",1,"Dunaliella","DA_D",110.8820436,25.6,2840.729566
"02.12.2019","target",0,"pairs",2,"DA1","Dunaliella-Amphidinium","DA",1,"Amphidinium","DA_A",309.8685704,9.15,2840.729566
"02.12.2019","target",0,"pairs",2,"DS1","Dunaliella-Synechococcus","DS",1,"Dunaliella","DS_D",110.8820436,25.6,2840.729566
"02.12.2019","target",0,"pairs",2,"DS1","Dunaliella-Synechococcus","DS",1,"Synechococcus","DS_S",5.430463068,523.1,2840.729566
"02.12.2019","target",0,"pairs",2,"SA1","Synechococcus-Amphidinium","SA",1,"Amphidinium","SA_A",309.8685704,9.15,2840.729566
"02.12.2019","target",0,"pairs",2,"SA1","Synechococcus-Amphidinium","SA",1,"Synechococcus","SA_S",5.430463068,523.1,2840.729566
"02.12.2019","target",0,"pairs",2,"TA1","Tetraselmis-Amphidinium","TA",1,"Amphidinium","TA_A",309.8685704,9.2,2840.729566
"02.12.2019","target",0,"pairs",2,"TA1","Tetraselmis-Amphidinium","TA",1,"Tetraselmis","TA_T",168.3395298,16.9,2840.729566
"02.12.2019","target",0,"pairs",2,"TD1","Tetraselmis_Dunaliella","TD",1,"Tetraselmis","TD_T",168.3395298,16.9,2840.729566
"02.12.2019","target",0,"pairs",2,"TD1","Tetraselmis_Dunaliella","TD",1,"Dunaliella","TD_D",110.8820436,25.6,2840.729566
"02.12.2019","target",0,"pairs",2,"TS1","Tetraselmis_Synechococcus","TS",1,"Tetraselmis","TS_T",168.3395298,16.9,2840.729566
"02.12.2019","target",0,"pairs",2,"TS1","Tetraselmis_Synechococcus","TS",1,"Synechococcus","TS_S",5.430463068,523.1,2840.729566
"02.12.2019","target",0,"pairs",2,"TTi1","Tetraselmis_Tisochrysis","TTi",1,"Tetraselmis","TTi_T",168.3395298,16.9,2840.729566
"02.12.2019","target",0,"pairs",2,"TTi1","Tetraselmis_Tisochrysis","TTi",1,"Tisochrysis","TTi_Ti",24.28920184,116.95,2840.729566
"02.12.2019","target",0,"pairs",2,"DTi1","Dunaliella_Tisochrysis","DTi",1,"Dunaliella","DTi_D",110.8820436,25.6,2840.729566
"02.12.2019","target",0,"pairs",2,"DTi1","Dunaliella_Tisochrysis","DTi",1,"Tisochrysis","DTi_Ti",24.28920184,116.95,2840.729566
"02.12.2019","target",0,"pairs",2,"ATi1","Amphidinium_Tisochrysis","ATi",1,"Amphidinium","ATi_A",309.8685704,9.15,2840.729566
"02.12.2019","target",0,"pairs",2,"ATi1","Amphidinium_Tisochrysis","ATi",1,"Tisochrysis","ATi_Ti",24.28920184,116.95,2840.729566
"02.12.2019","target",0,"pairs",2,"TiS1","Tisochrysis_Synechococcus","TiS",1,"Tisochrysis","TiS_Ti",24.28920184,116.95,2840.729566
"02.12.2019","target",0,"pairs",2,"TiS1","Tisochrysis_Synechococcus","TiS",1,"Synechococcus","TiS_S",5.430463068,523.1,2840.729566
"02.12.2019","target",0,"communities",5,"COM1","Community","COM",1,"Amphidinium","COM_A",309.8685704,3.66,1136.291826
"02.12.2019","target",0,"communities",5,"COM1","Community","COM",1,"Tetraselmis","COM_T",168.3395298,6.76,1136.291826
"02.12.2019","target",0,"communities",5,"COM1","Community","COM",1,"Dunaliella","COM_D",110.8820436,10.24,1136.291826
"02.12.2019","target",0,"communities",5,"COM1","Community","COM",1,"Synechococcus","COM_S",5.430463068,209.24,1136.291826
"02.12.2019","target",0,"communities",5,"COM1","Community","COM",1,"Tisochrysis","COM_Ti",24.28920184,46.78,1136.291826
"02.12.2019","target",0,"communities",5,"COM2","Community","COM",2,"Amphidinium","COM_A",309.8685704,3.66,1136.291826
"02.12.2019","target",0,"communities",5,"COM2","Community","COM",2,"Tetraselmis","COM_T",168.3395298,6.76,1136.291826
"02.12.2019","target",0,"communities",5,"COM2","Community","COM",2,"Dunaliella","COM_D",110.8820436,10.24,1136.291826
"02.12.2019","target",0,"communities",5,"COM2","Community","COM",2,"Synechococcus","COM_S",5.430463068,209.24,1136.291826
"02.12.2019","target",0,"communities",5,"COM2","Community","COM",2,"Tisochrysis","COM_Ti",24.28920184,46.78,1136.291826
"02.12.2019","target",0,"communities",5,"COM3","Community","COM",3,"Amphidinium","COM_A",309.8685704,3.66,1136.291826
"02.12.2019","target",0,"communities",5,"COM3","Community","COM",3,"Tetraselmis","COM_T",168.3395298,6.76,1136.291826
"02.12.2019","target",0,"communities",5,"COM3","Community","COM",3,"Dunaliella","COM_D",110.8820436,10.24,1136.291826
"02.12.2019","target",0,"communities",5,"COM3","Community","COM",3,"Synechococcus","COM_S",5.430463068,209.24,1136.291826
"02.12.2019","target",0,"communities",5,"COM3","Community","COM",3,"Tisochrysis","COM_Ti",24.28920184,46.78,1136.291826
"02.12.2019","target",0,"communities",5,"COM4","Community","COM",4,"Amphidinium","COM_A",309.8685704,3.66,1136.291826
"02.12.2019","target",0,"communities",5,"COM4","Community","COM",4,"Tetraselmis","COM_T",168.3395298,6.76,1136.291826
"02.12.2019","target",0,"communities",5,"COM4","Community","COM",4,"Dunaliella","COM_D",110.8820436,10.24,1136.291826
"02.12.2019","target",0,"communities",5,"COM4","Community","COM",4,"Synechococcus","COM_S",5.430463068,209.24,1136.291826
"02.12.2019","target",0,"communities",5,"COM4","Community","COM",4,"Tisochrysis","COM_Ti",24.28920184,46.78,1136.291826
"02.12.2019","target",0,"communities",5,"COM5","Community","COM",5,"Amphidinium","COM_A",309.8685704,3.66,1136.291826
"02.12.2019","target",0,"communities",5,"COM5","Community","COM",5,"Tetraselmis","COM_T",168.3395298,6.76,1136.291826
"02.12.2019","target",0,"communities",5,"COM5","Community","COM",5,"Dunaliella","COM_D",110.8820436,10.24,1136.291826
"02.12.2019","target",0,"communities",5,"COM5","Community","COM",5,"Synechococcus","COM_S",5.430463068,209.24,1136.291826
"02.12.2019","target",0,"communities",5,"COM5","Community","COM",5,"Tisochrysis","COM_Ti",24.28920184,46.78,1136.291826
"02.12.2019",0,0,"monocultures",1,"A1","Amphidinium","A",1,"Amphidinium","A",309.8685704,20.27840845,6283.641436
"02.12.2019",0,0,"monocultures",1,"T1","Tetraselmis","T",1,"Tetraselmis","T",168.3395298,41.5,6986.090488
"02.12.2019",0,0,"monocultures",1,"D1","Dunaliella","D",1,"Dunaliella","D",110.8820436,36.92884066,4094.74532
"02.12.2019",0,0,"monocultures",1,"S1","Synechococcus","S",1,"Synechococcus","S",5.430463068,986.2303316,5355.687393
"02.12.2019",0,0,"monocultures",1,"Ti1","Tisochrysis","Ti",1,"Tisochrysis","Ti",24.28920184,211.2725046,5131.640506
"02.12.2019",0,0,"pairs",2,"DA1","Dunaliella-Amphidinium","DA",1,"Dunaliella","DA_D",110.8820436,16.24868989,1801.687941
"02.12.2019",0,0,"pairs",2,"DA1","Dunaliella-Amphidinium","DA",1,"Amphidinium","DA_A",309.8685704,6.083522536,1885.092431
"02.12.2019",0,0,"pairs",2,"DS1","Dunaliella-Synechococcus","DS",1,"Dunaliella","DS_D",110.8820436,14.40224786,1596.950675
"02.12.2019",0,0,"pairs",2,"DS1","Dunaliella-Synechococcus","DS",1,"Synechococcus","DS_S",5.430463068,503.9133081,2736.48261
"02.12.2019",0,0,"pairs",2,"SA1","Synechococcus-Amphidinium","SA",1,"Amphidinium","SA_A",309.8685704,9.801230752,3037.093361
"02.12.2019",0,0,"pairs",2,"SA1","Synechococcus-Amphidinium","SA",1,"Synechococcus","SA_S",5.430463068,518.3108312,2814.667827
"02.12.2019",0,0,"pairs",2,"TA1","Tetraselmis-Amphidinium","TA",1,"Amphidinium","TA_A",309.8685704,7.266429696,2251.638181
"02.12.2019",0,0,"pairs",2,"TA1","Tetraselmis-Amphidinium","TA",1,"Tetraselmis","TA_T",168.3395298,34.25,5765.628897
"02.12.2019",0,0,"pairs",2,"TD1","Tetraselmis_Dunaliella","TD",1,"Tetraselmis","TD_T",168.3395298,10.5,1767.565063
"02.12.2019",0,0,"pairs",2,"TD1","Tetraselmis_Dunaliella","TD",1,"Dunaliella","TD_D",110.8820436,21.23408338,2354.478559
"02.12.2019",0,0,"pairs",2,"TS1","Tetraselmis_Synechococcus","TS",1,"Tetraselmis","TS_T",168.3395298,34.25,5765.628897
"02.12.2019",0,0,"pairs",2,"TS1","Tetraselmis_Synechococcus","TS",1,"Synechococcus","TS_S",5.430463068,431.9256927,2345.556522
"02.12.2019",0,0,"pairs",2,"TTi1","Tetraselmis_Tisochrysis","TTi",1,"Tetraselmis","TTi_T",168.3395298,32.25,5428.949837
